"U.S. Adult Population Deaths by Suicide: Crude and Adjusted Rates, by Sex, 2001-2022",,,,,,,,,,,,,,
Year of Death,Suicide Deaths,Population Estimate,"Crude Rate per 100,000","Age-Adjusted Rate per 100,000","Age- and Sex-Adjusted Rate per 100,000",Male Suicide Deaths,Male Population Estimate,"Male Crude Rate
 per 100,000","Male Age-Adjusted Rate per 100,000",Female Suicide Deaths,Female Population Estimate,"Female Crude Rate per 100,000","Female Age-Adjusted Rate per 100,000",sheet_id
2001,6005,25798000,23.27699822,24.28733545,17.0795749,5851,24178000,24.19968566,25.85264418,154,1620000,9.50617284,9.153349841,Veteran
2002,6146,25423000,24.17495968,24.9315544,16.85044365,6012,23752000,25.31155271,26.81251371,134,1671000,8.019150209,7.688035484,Veteran
2003,6012,25039000,24.01054355,26.0716615,18.12439567,5860,23331000,25.11679739,28.05978297,152,1708000,8.899297424,8.996121914,Veteran
2004,6006,24800000,24.21774194,25.48919531,18.01233456,5839,23046000,25.33628395,27.40528711,167,1754000,9.521094641,9.504063904,Veteran
2005,6131,24616000,24.90656484,25.78474559,18.64368772,5942,22793000,26.06940727,27.67352278,189,1823000,10.36752606,10.54841978,Veteran
2006,6039,24163000,24.99275752,25.44887886,17.99820671,5866,22346000,26.25078314,27.52428489,173,1817000,9.521188773,9.33655851,Veteran
2007,6251,23676000,26.4022639,26.97272543,19.24185627,6067,21906000,27.69560851,29.25059241,184,1770000,10.39548023,10.16253517,Veteran
2008,6571,23364000,28.12446499,28.87213902,21.14817369,6363,21624000,29.42563818,31.2914767,208,1740000,11.95402299,11.87714602,Veteran
2009,6524,23026000,28.33318857,29.00560981,21.54170152,6298,21246000,29.64322696,31.14305696,226,1780000,12.69662921,12.87359289,Veteran
2010,6555,22767000,28.79167216,29.53311121,22.03893527,6321,20981000,30.127258,31.98021296,234,1786000,13.1019037,12.84937469,Veteran
2011,6451,22498000,28.67365988,30.21284484,22.8920482,6198,20681000,29.96953726,32.64063196,253,1817000,13.92405063,13.88811613,Veteran
2012,6446,22185000,29.05566824,31.01095157,23.03530727,6206,20343000,30.50680824,33.80956453,240,1842000,13.02931596,12.91516408,Veteran
2013,6507,21982000,29.60149213,32.05610261,23.97222575,6256,20106000,31.11509002,35.01566065,251,1876000,13.37953092,13.56352357,Veteran
2014,6655,21670000,30.7106599,32.85299239,25.28341853,6360,19790000,32.13744315,35.60738564,295,1880000,15.69148936,15.53545012,Veteran
2015,6621,21233000,31.18259313,34.1507373,26.32813366,6316,19329000,32.67628951,37.20106296,305,1904000,16.01890756,15.88491091,Veteran
2016,6477,20876000,31.02605863,34.30320738,25.74824334,6204,18967000,32.70944272,37.70799879,273,1909000,14.30068098,14.19334517,Veteran
2017,6692,20511000,32.62639559,35.78001455,27.26447449,6393,18567000,34.43205688,39.03657166,299,1944000,15.38065844,16.0400348,Veteran
2018,6722,20182000,33.30690714,36.6942785,27.71235886,6432,18222000,35.29799144,40.13241332,290,1960000,14.79591837,15.8703787,Veteran
2019,6488,19817000,32.73956704,35.57719221,26.86327975,6193,17831000,34.73164713,39.1230623,295,1986000,14.85397784,15.08798097,Veteran
