"U.S. Adult Population Deaths by Suicide: Crude Suicide Rates, by Sex and Age Group, 2001-2022",,,,,,,,,,,,
Year of Death,Age Group,Suicide Deaths,Population Estimate,"Crude Rate per 100,000",Male Suicide Deaths,Male Population Estimate,"Male Crude Rate per 100,000",Female Age Group,Female Suicide Deaths,Female Population Estimate,"Female Crude Rate per 100,000",sheet_id
2001,18-34,616,2623000,23.48455966,586,2227000,26.31342613,18-34,30,396000,7.575757576,Veteran
2001,35-54,2511,8957000,28.03393994,2404,8199000,29.32064886,35-54,107,758000,14.11609499,Veteran
2001,55-74,1696,9761000,17.37526893,1685,9512000,17.71446594,55+,17,466000,3.64806867,Veteran
2001,75+,1179,4457000,26.45277092,1173,4240000,27.66509434,.,.,.,.,Veteran
2001,All,6005,25798000,23.27699822,5851,24178000,24.19968566,All,154,1620000,9.50617284,Veteran
2002,18-34,590,2507000,23.53410451,566,2114000,26.77388836,18-34,24,393000,6.106870229,Veteran
2002,35-54,2434,8492000,28.66227037,2344,7718000,30.37056232,35-54,90,774000,11.62790698,Veteran
2002,55-74,1826,9816000,18.60228199,1815,9527000,19.05111788,55+,20,504000,3.968253968,Veteran
2002,75+,1289,4608000,27.97309028,1280,4393000,29.13726383,.,.,.,.,Veteran
2002,All,6146,25423000,24.17495968,6012,23752000,25.31155271,All,134,1671000,8.019150209,Veteran
2003,18-34,668,2394000,27.90309106,627,2005000,31.27182045,18-34,41,389000,10.53984576,Veteran
2003,35-54,2321,8092000,28.68264953,2230,7294000,30.57307376,35-54,91,798000,11.40350877,Veteran
2003,55-74,1824,9891000,18.44100698,1811,9586000,18.89213436,55+,20,521000,3.838771593,Veteran
2003,75+,1192,4662000,25.56842557,1185,4446000,26.65317139,.,.,.,.,Veteran
2003,All,6012,25039000,24.01054355,5860,23331000,25.11679739,All,152,1708000,8.899297424,Veteran
2004,18-34,588,2335000,25.18201285,551,1938000,28.43137255,18-34,37,397000,9.319899244,Veteran
2004,35-54,2235,7783000,28.71643325,2126,6976000,30.47591743,35-54,109,807000,13.50681537,Veteran
2004,55-74,1901,9872000,19.25648298,1886,9556000,19.73629134,55+,21,550000,3.818181818,Veteran
2004,75+,1279,4810000,26.59043659,1273,4576000,27.81905594,.,.,.,.,Veteran
2004,All,6006,24800000,24.21774194,5839,23046000,25.33628395,All,167,1754000,9.521094641,Veteran
2005,18-34,576,2252000,25.57726465,533,1856000,28.71767241,18-34,43,396000,10.85858586,Veteran
2005,35-54,2138,7587000,28.1797812,2021,6757000,29.90972325,35-54,117,830000,14.09638554,Veteran
2005,55-74,2002,9858000,20.30837898,1980,9504000,20.83333333,55+,29,597000,4.857621441,Veteran
2005,75+,1411,4919000,28.68469201,1404,4676000,30.02566296,.,.,.,.,Veteran
2005,All,6131,24616000,24.90656484,5942,22793000,26.06940727,All,189,1823000,10.36752606,Veteran
2006,18-34,531,2188000,24.26873857,498,1794000,27.75919732,18-34,33,394000,8.375634518,Veteran
2006,35-54,2073,7411000,27.97193361,1961,6558000,29.90240927,35-54,112,853000,13.13012896,Veteran
2006,55-74,2062,9647000,21.37452058,2043,9304000,21.95829751,55+,28,570000,4.912280702,Veteran
2006,75+,1371,4917000,27.8828554,1362,4690000,29.04051173,.,.,.,.,Veteran
2006,All,6039,24163000,24.99275752,5866,22346000,26.25078314,All,173,1817000,9.521188773,Veteran
2007,18-34,561,2139000,26.22720898,526,1744000,30.16055046,18-34,35,395000,8.860759494,Veteran
2007,35-54,2109,7199000,29.29573552,1995,6343000,31.45199432,35-54,114,856000,13.31775701,Veteran
2007,55-74,2126,9449000,22.49973542,2096,9113000,23.00010973,55+,35,519000,6.743737958,Veteran
2007,75+,1454,4889000,29.74023318,1449,4706000,30.79048024,.,.,.,.,Veteran
2007,All,6251,23676000,26.4022639,6067,21906000,27.69560851,All,184,1770000,10.39548023,Veteran
2008,18-34,604,2106000,28.67996201,561,1708000,32.84543326,18-34,43,398000,10.8040201,Veteran
2008,35-54,2158,7012000,30.77581289,2044,6161000,33.1764324,35-54,114,851000,13.3960047,Veteran
2008,55-74,2340,9311000,25.13156482,2299,8995000,25.55864369,55+,51,491000,10.38696538,Veteran
2008,75+,1467,4935000,29.72644377,1457,4760000,30.6092437,.,.,.,.,Veteran
2008,All,6571,23364000,28.12446499,6363,21624000,29.42563818,All,208,1740000,11.95402299,Veteran
2009,18-34,607,2095000,28.97374702,546,1694000,32.23140496,18-34,61,401000,15.21197007,Veteran
2009,35-54,2094,6821000,30.69931095,1968,5968000,32.97587131,35-54,126,853000,14.77139508,Veteran
2009,55-74,2298,9217000,24.93219052,2265,8865000,25.5499154,55+,39,526000,7.414448669,Veteran
2009,75+,1523,4893000,31.12609851,1517,4719000,32.14664124,.,.,.,.,Veteran
2009,All,6524,23026000,28.33318857,6298,21246000,29.64322696,All,226,1780000,12.69662921,Veteran
2010,18-34,622,2096000,29.67557252,574,1688000,34.00473934,18-34,48,408000,11.76470588,Veteran
2010,35-54,2053,6614000,31.04021772,1922,5768000,33.32177531,35-54,131,846000,15.48463357,Veteran
2010,55-74,2389,9255000,25.81307401,2337,8874000,26.33536173,55+,55,532000,10.33834586,Veteran
2010,75+,1489,4802000,31.00791337,1486,4651000,31.95011825,.,.,.,.,Veteran
2010,All,6555,22767000,28.79167216,6321,20981000,30.127258,All,234,1786000,13.1019037,Veteran
2011,18-34,673,2085000,32.27817746,616,1683000,36.60130719,18-34,57,402000,14.17910448,Veteran
2011,35-54,1996,6400000,31.1875,1855,5557000,33.38132086,35-54,141,843000,16.72597865,Veteran
2011,55-74,2326,9236000,25.18406236,2276,8826000,25.78744618,55+,55,572000,9.615384615,Veteran
2011,75+,1446,4777000,30.27004396,1441,4615000,31.22426869,.,.,.,.,Veteran
2011,All,6451,22498000,28.67365988,6198,20681000,29.96953726,All,253,1817000,13.92405063,Veteran
2012,18-34,727,2098000,34.65204957,675,1698000,39.75265018,18-34,52,400000,13,Veteran
2012,35-54,1920,6183000,31.05288695,1790,5339000,33.52687769,35-54,130,844000,15.4028436,Veteran
2012,55-74,2353,9158000,25.69338283,2299,8707000,26.40404272,55+,58,598000,9.698996656,Veteran
2012,75+,1441,4746000,30.36241045,1437,4599000,31.24592303,.,.,.,.,Veteran
